Year,Competition,Guidelines,Brewer,Beer,Flight Medal,BOS Medal
2016,UK National Homebrewing Competition,BJCP 2015,Tim Weenink,Dray Cart,silver,
2016,UK National Homebrewing Competition,BJCP 2015,Jeremiah Petersen,Educator,bronze,
2016,Briarbank Homebrew Competition,SIBA,Mark Sanderson,Daisycutter,gold,
2016,Welsh National,BJCP 2015,Lee Immins,Wee Bottled It,gold,
2016,Welsh National,BJCP 2015,Fraser Withers,Best Mate,gold,
2016,Welsh National,BJCP 2015,Fraser Withers,Cross Roads,silver,
2016,Welsh National,BJCP 2015,Fraser Withers,Raspberry Wheat,silver,
2016,Welsh National,BJCP 2015,Fraser Withers,Dragon Slayer,bronze,
2016,Welsh National,BJCP 2015,Rich Lock,IBS To My Friends,gold,
2016,Welsh National,BJCP 2015,Phill Turner,Georgijs Voshington Porter,silver,
2016,Welsh National,BJCP 2015,Phill Turner,Green Frog,bronze,
2016,Brew Brighton,BJCP 2015,Fraser Withers,Cross Roads,gold,
2016,Brew Brighton,BJCP 2015,Fraser Withers,Blue Jay,gold,
2016,Brew Brighton,BJCP 2015,Mike Carter,Dead Fly In The Wax,gold,bronze
2016,Brew Brighton,BJCP 2015,Phill Turner,Georgijs Voshington Porter,gold,gold
2016,Brew Brighton,BJCP 2015,Phill Turner,Not Ranke XX Bitter,silver,
2016,Brew Brighton,BJCP 2015,Mark Sanderson,Daisycutter,gold,
2016,Brew Brighton,BJCP 2015,Mark Sanderson,Amber Gambler,bronze,
2016,Brew Brighton,BJCP 2015,Matt Simmons,Seven Point Four IPA,silver,
2016,Brew Brighton,BJCP 2015,Paul Spearman,Paul's AAA,silver,
2016,Brew Brighton,BJCP 2015,Mark Charlwood,Falconer's Flight,silver,
2016,Brew Brighton,BJCP 2015,Jeremiah Petersen,Magical Realism,silver,
2016,Brew Brighton,BJCP 2015,James Wilson,Shot To Nothing,bronze,
2016,Brew Brighton,BJCP 2015,Jonathan Finch,Winston Salem Wheat,bronze,
2016,Piwobranie in Grodzisk Wielkopolski,Local Guidelines,Lee Immins,Piwo Perzyna,silver,
2016,V. Hrvatsko Homebrew Prvenstvo,BJCP 2015,Lee Immins,Ooldveek Tripel,bronze,
2016,V. Hrvatsko Homebrew Prvenstvo,BJCP 2015,Rich Lock,Retribution Barrel-Aged Imp Brown Stout,gold,
2016,London & Southeast,BJCP 2015,Lee Immins,Bring Your Daughter To The Porter,bronze,
2016,London & Southeast,BJCP 2015,Ken Bazley,Pivovar Bobek,gold,
2016,London & Southeast,BJCP 2015,Rich Lock,Imperial Cherryade,gold,
2016,London & Southeast,BJCP 2015,Rich Lock,RIS 2014 Batch,bronze,
2016,London & Southeast,BJCP 2015,Mike Carter,Whim-Wham,silver,
2016,London & Southeast,BJCP 2015,Paul Spearman,Paul's Old Ale,silver,
2016,London & Southeast,BJCP 2015,Sean Cummins,Albino Dubbel,bronze,
2016,London & Southeast,BJCP 2015,Mark Charlwood,"APA (Citra, Mosaic)",bronze,
2016,London & Southeast,BJCP 2015,Mark Charlwood,Golden Ale,bronze,
2016,London & Southeast,BJCP 2015,Tim Weenink,Big Black Buddy,silver,
2016,London & Southeast,BJCP 2015,Alex Allen,VBP,bronze,
2016,London & Southeast,BJCP 2015,John Kellett,Black Sunset,silver,
2016,London & Southeast,BJCP 2015,James Wilson,Big Cat,bronze,
2016,London & Southeast,BJCP 2015,Andrew Senior,Roll The Potato,bronze,
2016,NAWB National,NGWBJ,Phill Turner,Barleywine,gold,
2016,NAWB National,NGWBJ,Phill Turner,Gone For An Old Burton,silver,
2016,NAWB National,NGWBJ,Phill Turner,Stout,bronze,
2017,The Homebrew Festival,NGWBJ,Phill Turner,Bitter,bronze,
2017,Fast Like A Monk,BJCP 2015,Neal Irvin,Belgian Dark,bronze,
2017,Fast Like A Monk,BJCP 2015,Stew Horne,Two Ton Tripel,bronze,
2017,Fast Like A Monk,BJCP 2015,Phill Turner,Vest Male Patersbier,bronze,
2017,Fast Like A Monk,BJCP 2015,Jacques Marais,I'll Be Bock,bronze,
2017,Fast Like A Monk,BJCP 2015,Rob Gallagher,Karl's Global Liberator,silver,
